,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age
1494,1542,Mahindra Thar CRDe,Jaipur,2016,19000,First,1655,2498,105,6.0,1139,9.25,1,0,0,1,7
1496,1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,First,261,1498,99,5.0,979,7.29,1,0,0,1,6
1497,1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,First,207,1496,11398,4.0,35,23.5,1,0,1,0,7
1499,1547,Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Second,2103,1461,65,5.0,926,3.1,1,0,0,1,8
1509,1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,First,170,1198,7375,5.0,868,7.23,0,1,0,1,6
1519,1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,First,1281,1999,14831,7.0,6639,41.5,1,0,1,0,6
1524,1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,First,1706,1968,141,5.0,3645,24.9,1,0,1,0,6
1532,1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,First,1475,2967,245,7.0,9138,72.94,1,0,1,0,4
1538,1589,Mahindra Bolero ZLX,Jaipur,2013,63000,First,1596,2523,621,7.0,1115,5.5,1,0,0,1,10
1580,1631,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,First,1705,1995,190,5.0,5097,30.29,1,0,1,0,6
1600,1652,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,First,136,1999,177,5.0,5341,38.0,1,0,1,0,6
1611,1663,Maruti Wagon R LXI,Delhi,2012,45631,Second,225,998,6704,5.0,459,2.74,0,1,0,1,11
1624,1677,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,First,189,1197,8186,5.0,654,4.9,0,1,0,1,6
1627,1680,Maruti Alto K10 VXI,Coimbatore,2011,48624,First,2407,998,671,5.0,47,3.22,0,1,0,1,12
1636,1689,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,First,2248,1995,190,5.0,6787,37.3,1,0,1,0,5
1637,1690,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,First,1157,2987,25479,5.0,9513,70.8,1,0,1,0,5
1639,1692,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,First,189,1197,8186,5.0,662,6.03,0,1,0,1,5
1651,1704,Honda Amaze V CVT Petrol,Pune,2018,1700,First,190,1199,8876,5.0,944,7.8,0,1,1,0,5
1655,1708,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,First,1517,1968,181,5.0,4864,28.03,1,0,1,0,7
1664,1717,Mahindra Xylo D4,Hyderabad,2015,169000,First,1495,2489,937,7.0,1169,5.0,1,0,0,1,8
1672,1725,Maruti Ciaz Zeta,Mumbai,2017,5500,First,2156,1462,10325,5.0,1111,8.2,0,1,0,1,6
1690,1743,Maruti Wagon R LXI,Ahmedabad,2010,21002,First,225,998,6704,5.0,474,2.75,0,1,0,1,13
1694,1747,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,First,151,1196,73,7.0,498,4.74,0,1,0,1,6
1701,1754,Renault KWID Climber 1.0 MT,Delhi,2017,15000,First,217,999,67,5.0,498,4.25,0,1,0,1,6
1720,1773,Honda WRV i-VTEC VX,Kochi,2018,15135,First,175,1199,887,5.0,1057,9.29,0,1,0,1,5
1729,1783,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,First,225,998,67,5.0,633,5.23,0,1,1,0,6
1730,1784,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,First,189,1197,8186,5.0,81,6.01,0,1,0,1,7
1739,1793,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,First,189,1197,8186,5.0,64,5.0,0,1,0,1,6
1740,1794,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,First,284,1248,7375,5.0,1126,9.0,1,0,1,0,6
1743,1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,First,1816,1197,789,5.0,759,7.27,0,1,0,1,4
1744,1798,Maruti Swift VXI,Mumbai,2016,23555,First,220,1197,8180,5.0,7,5.1,0,1,0,1,7
1749,1803,Volkswagen Polo GT TSI,Mumbai,2016,28000,First,1721,1197,1035,5.0,1126,7.25,0,1,1,0,7
1751,1805,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,First,2295,1248,74,5.0,743,5.25,1,0,0,1,6
1769,1823,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,First,1823,1582,1262,5.0,2243,8.9,1,0,1,0,9
1770,1824,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,First,171,1956,170,5.0,2402,17.45,1,0,0,1,6
1772,1826,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,First,1428,1798,13803,5.0,2169,6.22,0,1,0,1,11
1776,1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,First,1157,2987,25479,5.0,9513,64.87,1,0,1,0,6
1787,1841,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,First,155,1595,122,5.0,3463,17.25,0,1,1,0,7
1788,1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,First,189,1197,8186,5.0,632,5.53,0,1,0,1,5
1801,1855,BMW 3 Series 320d,Ahmedabad,2011,100000,Second,2269,1995,190,5.0,4331,10.9,1,0,1,0,12
1817,1872,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,First,151,1196,73,7.0,471,2.9,0,1,0,1,9
1822,1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,First,1136,2755,1715,7.0,2074,19.65,1,0,1,0,4
1830,1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,First,110,2987,258,7.0,102,79.0,1,0,1,0,5
1831,1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,First,189,1197,8186,5.0,671,5.75,0,1,0,1,5
1841,1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,First,170,1198,7375,5.0,868,7.27,0,1,0,1,5
1847,1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,First,129,2755,1745,7.0,3445,30.0,1,0,1,0,6
1863,1920,Maruti Dzire VDI,Delhi,2016,45376,First,284,1248,7375,5.0,858,5.75,1,0,0,1,7
1866,1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,First,230,1498,9896,5.0,1267,8.09,1,0,0,1,6
1869,1926,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Second,2068,1995,190,5.0,4818,22.24,1,0,1,0,8
1875,1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,First,230,1498,9896,5.0,1189,8.99,1,0,0,1,6
1877,1934,Maruti Dzire ZDI Plus,Jaipur,2017,24000,First,284,1248,7375,5.0,1048,8.2,1,0,0,1,6
1898,1955,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Second,170,1591,1213,5.0,1359,5.25,0,1,0,1,10
1904,1961,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,First,243,1248,885,5.0,1102,9.3,1,0,0,1,7
1906,1963,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,First,179,2143,136,5.0,4194,23.5,1,0,1,0,6
1933,1990,Maruti Dzire VDI,Mumbai,2012,74000,Second,284,1248,7375,5.0,894,4.25,1,0,0,1,11
1934,1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,First,171,1956,170,5.0,2138,17.02,1,0,0,1,5
1937,1994,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,First,2143,1364,8679,5.0,1927,7.12,1,0,0,1,10
1938,1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,First,243,1248,885,5.0,1288,11.25,1,0,1,0,5
1941,1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,First,2014,1197,8186,5.0,827,3.67,0,1,0,1,9
1945,2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,First,2068,1995,190,5.0,4818,28.5,1,0,1,0,7
1950,2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,First,1368,2393,1478,7.0,2287,16.5,1,0,0,1,6
1955,2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,First,189,1197,8186,5.0,737,6.76,0,1,1,0,5
1956,2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Second,1878,999,75,5.0,733,5.5,0,1,0,1,7
1967,2025,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,First,151,1196,73,7.0,498,3.75,0,1,0,1,10
1972,2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,First,1368,2393,1478,7.0,2306,17.11,1,0,0,1,7
1983,2041,Mahindra Bolero SLE,Hyderabad,2012,75000,First,1596,2523,621,7.0,1032,4.3,1,0,0,1,11
1995,2054,Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,First,2089,1197,8180,5.0,787,6.36,0,1,0,1,6
1997,2056,BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Second,1677,2993,26149,5.0,14,43.6,1,0,1,0,8
2001,2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,First,171,1956,170,5.0,2246,19.05,1,0,0,1,5
2013,2073,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,First,207,1496,11398,5.0,4248,34.0,1,0,1,0,6
2015,2075,Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,First,1757,1193,887,5.0,769,4.0,0,1,0,1,8
2019,2079,Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,First,261,1498,99,5.0,94,8.41,1,0,0,1,8
2026,2086,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,First,189,1197,8186,5.0,81,5.89,0,1,0,1,7
2028,2088,Honda City i-VTEC V,Delhi,2011,67031,First,174,1497,1173,5.0,1185,4.0,0,1,0,1,12
2030,2090,Maruti Celerio VXI AMT,Mumbai,2016,47691,First,231,998,6704,5.0,608,3.94,0,1,1,0,7
2034,2094,Maruti Dzire VDI,Kolkata,2015,28193,First,284,1248,7375,5.0,836,5.25,1,0,0,1,8
2035,2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,First,190,2996,36207,2.0,106,83.96,0,1,1,0,4
2037,2097,Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,First,161,1950,194,5.0,7115,21.0,1,0,1,0,10
2038,2098,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,First,189,1197,8186,5.0,682,4.3,0,1,0,1,8
2050,2111,Mercedes-Benz GLE 250d,Kochi,2017,25601,First,179,2143,20115,5.0,7876,56.73,1,0,1,0,6
2058,2119,Ford Freestyle Titanium Petrol,Mumbai,2007,1261,First,190,1194,9468,5.0,812,6.0,0,1,0,1,16
2059,2120,Hyundai Elite i20 Asta Option,Coimbatore,2017,59450,First,186,1197,8186,5.0,978,7.53,0,1,0,1,6
2066,2127,Maruti Baleno Delta,Mumbai,2016,12573,First,214,1197,831,5.0,736,5.8,0,1,0,1,7
2072,2134,Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,First,129,2755,1745,7.0,3811,31.0,1,0,1,0,6
2076,2138,Maruti Ertiga ZDI,Delhi,2013,68000,First,2547,1248,8850,7.0,1175,4.85,1,0,0,1,10
2089,2151,Maruti Swift VDI,Hyderabad,2013,84000,First,284,1248,74,5.0,844,5.65,1,0,0,1,10
2095,2157,Hyundai Creta 1.6 SX Option,Delhi,2016,24347,First,158,1591,1213,5.0,1606,11.0,0,1,0,1,7
2098,2160,Honda City i-VTEC CVT VX,Mumbai,2017,17000,First,180,1497,1173,5.0,1529,11.6,0,1,1,0,6
2103,2166,Honda Brio 1.2 VX MT,Kochi,2014,41460,First,185,1198,868,5.0,663,3.95,0,1,0,1,9
2115,2178,Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,2017,35000,First,180,2993,255,7.0,127,41.6,1,0,1,0,6
2119,2182,Toyota Fortuner 2.8 4WD MT,Bangalore,2015,150386,First,1424,2755,1745,7.0,396,23.0,1,0,0,1,8
2122,2185,Maruti Vitara Brezza ZDi Plus,Ahmedabad,2017,80000,First,243,1248,885,5.0,1091,8.0,1,0,0,1,6
2124,2187,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,2016,13000,First,1295,1999,15288,5.0,2575,17.75,0,1,1,0,7
2132,2195,Maruti Wagon R VXI,Kolkata,2016,16956,First,225,998,6704,5.0,529,3.6,0,1,0,1,7
2137,2200,Maruti Wagon R VXI,Mumbai,2010,38000,Second,225,998,6704,5.0,561,1.75,0,1,0,1,13
2157,2220,Honda Brio 1.2 VX AT,Mumbai,2017,20000,First,165,1198,868,5.0,805,5.99,0,1,1,0,6
2161,2224,Toyota Etios Cross 1.4L GD,Kochi,2016,36681,First,2359,1364,6706,5.0,882,6.71,1,0,0,1,7
2165,2229,Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,First,180,1497,1173,5.0,1738,14.21,0,1,1,0,5
2167,2231,Maruti Celerio ZXI MT,Kochi,2017,21799,First,231,998,6704,5.0,569,5.11,0,1,0,1,6
2169,2233,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2017,35358,First,1136,2755,1715,7.0,2656,22.99,1,0,1,0,6
2175,2239,Tata Tiago 1.2 Revotron XT,Jaipur,2016,42700,First,2384,1199,84,5.0,561,3.6,0,1,0,1,7
2178,2242,Toyota Fortuner 2.8 4WD MT,Hyderabad,2010,110000,First,1424,2755,1745,7.0,3751,13.7,1,0,0,1,13
2181,2245,Maruti Wagon R VXI 1.2,Mumbai,2015,55000,First,215,1197,8180,5.0,588,3.1,0,1,0,1,8
2187,2251,Honda City i-DTEC ZX,Hyderabad,2017,46000,First,256,1498,986,5.0,1695,12.9,1,0,0,1,6
2196,2260,BMW 5 Series 520d Luxury Line,Ahmedabad,2012,95000,Second,2248,1995,190,5.0,6371,17.5,1,0,1,0,11
2209,2275,Ford EcoSport 1.5 Diesel Titanium,Delhi,2017,39000,First,230,1498,9896,5.0,1147,8.45,1,0,0,1,6
2211,2277,Toyota Fortuner 2.8 4WD MT,Mumbai,2010,140000,First,1424,2755,1745,7.0,3746,10.75,1,0,0,1,13
2223,2290,Maruti Swift VDI,Kochi,2016,62192,First,284,1248,74,5.0,788,5.22,1,0,0,1,7
2225,2292,Maruti Ciaz Alpha,Kochi,2018,38394,First,2156,1462,10325,5.0,1137,9.18,0,1,0,1,5
2241,2309,Hyundai Elantra 2.0 SX Option AT,Delhi,2016,28000,First,1462,1999,14992,5.0,2177,13.9,0,1,1,0,7
2245,2313,Volkswagen Vento 1.5 TDI Trendline,Mumbai,2011,47000,First,2064,1498,1085,5.0,113,3.25,1,0,0,1,12
2251,2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,First,180,2987,258,5.0,925,78.8,1,0,1,0,4
2257,2326,Hyundai Elantra 2.0 SX Option AT,Coimbatore,2015,58239,First,1462,1999,14992,5.0,2364,9.69,0,1,1,0,8
2264,2333,Nissan Terrano XL D Option,Mumbai,2014,51000,First,1987,1461,8314,5.0,1506,5.65,1,0,0,1,9
2265,2334,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,Second,129,2755,1745,7.0,3445,22.5,1,0,1,0,7
2272,2341,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,First,179,2143,136,5.0,4194,28.9,1,0,1,0,5
2294,2364,Mini Cooper Convertible S,Chennai,2012,17000,Second,1682,1998,18908,4.0,4428,22.0,0,1,1,0,11
2299,2370,Mini Cooper 3 DOOR S,Mumbai,2013,21000,First,1744,1998,18908,4.0,3957,21.5,0,1,1,0,10
2307,2380,Skoda Rapid 1.6 MPI AT Ambition,Mumbai,2017,32000,First,1484,1598,10352,5.0,137,8.11,0,1,1,0,6
2313,2387,Maruti Ertiga VDI,Delhi,2017,65000,First,2547,1248,8850,7.0,1116,7.65,1,0,0,1,6
2322,2397,Ford EcoSport 1.5 Petrol Trend,Kolkata,2016,21460,First,170,1497,12136,5.0,947,6.0,0,1,0,1,7
2325,2400,Honda Jazz V CVT,Hyderabad,2015,33000,First,190,1199,887,5.0,1017,7.25,0,1,1,0,8
2335,2410,Maruti Vitara Brezza ZDi Plus,Jaipur,2017,48324,First,243,1248,885,5.0,1147,9.0,1,0,0,1,6
2338,2413,Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,20773,First,240,1186,7397,5.0,817,5.92,1,0,0,1,6
2339,2414,Volkswagen Polo 1.5 TDI Highline,Kolkata,2016,22000,First,2014,1498,88,5.0,958,6.29,1,0,0,1,7
2348,2423,BMW 3 Series 320d,Mumbai,2013,25000,First,2269,1995,190,5.0,4787,17.99,1,0,1,0,10
2353,2428,Mahindra Xylo H4,Chennai,2015,82000,Second,1402,2179,1183,7.0,1167,4.85,1,0,0,1,8
2361,2438,Maruti Dzire VDI,Hyderabad,2011,110000,First,284,1248,7375,5.0,914,4.0,1,0,0,1,12
2365,2443,Volkswagen Polo 1.5 TDI Highline,Delhi,2012,68038,First,2014,1498,88,5.0,996,3.6,1,0,0,1,11
2367,2445,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,55000,First,2248,1995,190,5.0,6371,21.75,1,0,1,0,10
2368,2446,Mercedes-Benz GLC 220d 4MATIC Sport,Mumbai,2017,25000,First,179,2143,170,5.0,6414,45.0,1,0,1,0,6
2369,2447,Maruti Alto K10 VXI,Coimbatore,2011,46808,Second,2407,998,671,5.0,47,3.19,0,1,0,1,12
2370,2448,Hyundai Xcent 1.2 VTVT S,Coimbatore,2015,65743,First,2014,1197,8186,5.0,785,6.2,0,1,0,1,8
2375,2454,Hyundai Creta 1.6 SX Option,Mumbai,2016,29477,First,158,1591,1213,5.0,1636,10.25,0,1,0,1,7
2376,2455,Toyota Fortuner 2.8 2WD AT,Delhi,2017,40000,First,129,2755,1745,7.0,3738,30.0,1,0,1,0,6
2380,2459,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,30000,First,230,1498,9896,5.0,1189,8.99,1,0,0,1,6
2385,2464,Tata Zest Revotron 1.2T XE,Delhi,2017,47000,Second,1757,1193,887,5.0,662,4.5,0,1,0,1,6
2406,2485,Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,2017,45362,First,243,1248,885,5.0,1175,9.38,1,0,0,1,6
2409,2488,Tata Hexa XTA,Coimbatore,2019,14233,First,176,2179,15386,7.0,2274,17.85,1,0,1,0,4
2416,2495,Skoda Superb Style 1.8 TSI AT,Mumbai,2010,62004,Second,1467,1798,17746,5.0,3336,3.75,0,1,1,0,13
2417,2496,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25500,First,215,1498,1085,5.0,1586,8.95,1,0,1,0,7
2428,2509,Mercedes-Benz E-Class E 220 d,Mumbai,2018,11000,First,161,1950,194,5.0,7055,56.5,1,0,1,0,5
2429,2510,BMW 3 Series 320d Luxury Line,Mumbai,2014,18600,Second,2269,1995,190,5.0,5443,21.0,1,0,1,0,9
2445,2528,Land Rover Discovery SE 3.0 TD6,Delhi,2016,59000,First,180,2993,255,7.0,113,36.75,1,0,1,0,7
2450,2533,Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,20969,First,179,2143,136,5.0,4536,27.87,1,0,1,0,6
2451,2534,Maruti Vitara Brezza ZDi,Kolkata,2018,2900,First,243,1248,885,5.0,1013,8.75,1,0,0,1,5
2453,2536,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,First,2113,1498,1084,5.0,1422,11.92,1,0,0,1,5
2462,2545,Mahindra NuvoSport N8,Coimbatore,2017,37712,First,1745,1493,100,7.0,1177,7.57,1,0,0,1,6
2475,2558,Datsun redi-GO T Option,Kochi,2018,30953,First,227,799,5364,5.0,405,3.48,0,1,0,1,5
2480,2563,Jeep Compass 2.0 Limited 4X4,Coimbatore,2018,48188,First,163,1956,170,5.0,2695,21.69,1,0,0,1,5
2486,2569,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2017,65367,First,1136,2755,1715,7.0,2805,20.14,1,0,1,0,6
2505,2589,Maruti Wagon R VXI AMT,Mumbai,2016,8000,First,225,998,67,5.0,614,4.15,0,1,1,0,7
2508,2592,Maruti Alto K10 VXI,Mumbai,2016,13198,First,2407,998,671,5.0,482,3.15,0,1,0,1,7
2511,2595,Tata Tiago AMT 1.2 Revotron XZA,Coimbatore,2019,15379,First,2384,1199,8383,5.0,717,6.97,0,1,1,0,4
2519,2604,Mini Cooper Convertible S,Mumbai,2016,15000,First,1682,1998,18908,4.0,4428,35.0,0,1,1,0,7
2522,2607,Hyundai Verna CRDi 1.6 SX Option,Pune,2017,50000,First,220,1582,1262,5.0,1572,11.5,1,0,0,1,6
2537,2622,Renault Duster 85PS Diesel RxE,Pune,2016,54000,First,1987,1461,838,5.0,1127,6.5,1,0,0,1,7
2560,2648,Honda BRV i-VTEC V MT,Pune,2016,9200,First,154,1497,1173,7.0,1358,8.0,0,1,0,1,7
2561,2649,Honda Amaze S Diesel,Hyderabad,2015,29000,First,274,1498,986,5.0,909,5.99,1,0,0,1,8
2577,2665,Maruti Alto K10 VXI,Kochi,2018,46805,First,2407,998,671,5.0,409,3.63,0,1,0,1,5
2579,2667,Tata Zest Revotron 1.2T XE,Mumbai,2017,100000,First,1757,1193,887,5.0,683,4.25,0,1,0,1,6
2590,2678,Maruti Wagon R LXI,Kochi,2011,15466,First,225,998,6704,5.0,504,3.36,0,1,0,1,12
2604,2692,BMW 3 Series 320d,Kolkata,2011,70000,First,2269,1995,190,5.0,4381,10.3,1,0,1,0,12
2606,2694,Maruti Wagon R VXI,Kochi,2014,41994,First,225,998,6704,5.0,512,3.41,0,1,0,1,9
2611,2699,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,51000,First,1517,1968,181,5.0,4864,27.5,1,0,1,0,8
2612,2700,Maruti Wagon R VXI 1.2,Jaipur,2015,64876,First,215,1197,8180,5.0,571,3.5,0,1,0,1,8
2613,2702,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,25299,First,243,1248,885,5.0,1256,10.34,1,0,0,1,6
2620,2709,Honda Amaze V Petrol,Kochi,2016,40866,First,195,1199,8676,5.0,816,5.47,0,1,0,1,7
2622,2711,Mini Cooper Convertible S,Kochi,2017,20469,First,1682,1998,18908,4.0,4428,35.98,0,1,1,0,6
2633,2722,Volkswagen Ameo 1.5 TDI Highline,Kochi,2018,31426,First,2166,1498,10862,5.0,972,7.9,1,0,0,1,5
2639,2728,Maruti Baleno Alpha CVT,Kochi,2019,13574,First,214,1197,831,5.0,103,9.51,0,1,1,0,4
2653,2742,BMW 5 Series 520d Luxury Line,Ahmedabad,2013,90000,First,2248,1995,190,5.0,6371,19.5,1,0,1,0,10
2656,2745,Maruti Vitara Brezza ZDi Plus,Kochi,2017,38426,First,243,1248,885,5.0,1112,9.13,1,0,0,1,6
2657,2746,Maruti Eeco 7 Seater Standard,Pune,2011,45000,First,151,1196,73,7.0,469,2.25,0,1,0,1,12
2660,2749,Maruti Wagon R LXI,Mumbai,2010,37822,First,225,998,6704,5.0,504,2.35,0,1,0,1,13
2674,2763,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,72202,First,1368,2393,1478,8.0,2401,17.92,1,0,0,1,6
2678,2767,Mercedes-Benz GLE 350d,Coimbatore,2018,30706,First,1157,2987,25479,5.0,9513,59.29,1,0,1,0,5
2681,2770,Maruti Baleno Alpha,Mumbai,2016,12208,First,214,1197,831,5.0,878,6.75,0,1,0,1,7
2685,2774,Volkswagen Polo GT TSI,Mumbai,2017,27853,First,1721,1197,1035,5.0,1126,8.25,0,1,1,0,6
2699,2788,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,First,189,1197,8186,5.0,668,6.07,0,1,0,1,5
2712,2801,Renault KWID 1.0 RXT Optional AMT,Coimbatore,2017,53285,First,225,999,67,5.0,542,4.28,0,1,1,0,6
2719,2808,Mercedes-Benz GLE 350d,Mumbai,2017,19863,First,1157,2987,25479,5.0,9123,64.95,1,0,1,0,6
2723,2812,Hyundai Grand i10 1.2 Kappa Sportz,Mumbai,2018,3958,First,189,1197,8186,5.0,714,5.55,0,1,0,1,5
2738,2827,BMW X3 xDrive 20d Luxury Line,Hyderabad,2009,58000,First,1856,1995,190,5.0,6959,17.98,1,0,1,0,14
2762,2851,Renault KWID 1.0 RXT Optional,Kochi,2018,18335,First,217,999,67,5.0,461,4.5,0,1,0,1,5
2764,2853,Volkswagen Polo GT TSI,Mumbai,2017,25000,First,1721,1197,1035,5.0,1126,7.75,0,1,1,0,6
2766,2855,Toyota Fortuner 2.8 2WD AT,Kochi,2019,21719,First,129,2755,1745,7.0,3738,33.13,1,0,1,0,4
2770,2859,Renault KWID Climber 1.0 MT,Hyderabad,2018,4126,First,217,999,67,5.0,53,4.8,0,1,0,1,5
2771,2860,Tata Bolt Quadrajet XM,Hyderabad,2017,98500,First,2295,1248,74,5.0,797,6.0,1,0,0,1,6
2777,2866,BMW 3 Series 320d,Coimbatore,2009,103905,First,2269,1995,190,5.0,4331,9.92,1,0,1,0,14
2787,2876,Audi A6 35 TDI Matrix,Delhi,2014,56000,First,1853,1968,18774,5.0,5938,24.0,1,0,1,0,9
2789,2878,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2017,33550,First,215,1498,1085,5.0,1586,9.6,1,0,1,0,6
2790,2879,Audi A6 35 TDI Matrix,Hyderabad,2014,62000,First,1853,1968,18774,5.0,671,25.0,1,0,1,0,9
2801,2890,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,27852,First,148,1497,12136,5.0,141,10.44,0,1,1,0,5
2804,2894,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,2018,14000,First,215,1497,1085,5.0,1222,9.9,1,0,0,1,5
2810,2900,Isuzu MUX 4WD,Jaipur,2017,34429,First,138,2999,17457,7.0,3368,20.0,1,0,1,0,6
2824,2914,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52100,First,2143,1364,8679,5.0,1927,6.5,1,0,0,1,11
2825,2915,Hyundai Grand i10 1.2 Kappa Sportz,Jaipur,2018,10000,First,189,1197,8186,5.0,696,5.85,0,1,0,1,5
2826,2916,Jeep Compass 2.0 Limited 4X4,Coimbatore,2019,6261,First,163,1956,170,5.0,2695,23.91,1,0,0,1,4
2827,2917,Maruti Ignis 1.2 AMT Alpha,Coimbatore,2019,3906,First,2089,1197,8180,5.0,796,7.36,0,1,1,0,4
2830,2920,Toyota Innova Crysta 2.4 VX MT,Mumbai,2017,38000,First,1368,2393,1478,7.0,2306,17.65,1,0,0,1,6
2832,2922,Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,First,2359,1364,6705,5.0,958,6.0,1,0,0,1,8
2847,2937,Toyota Innova Crysta 2.8 GX AT 8S,Delhi,2017,18000,First,1136,2755,1715,8.0,208,18.25,1,0,1,0,6
2866,2957,Nissan Micra Active XV,Ahmedabad,2016,41000,First,1969,1198,6704,5.0,678,4.25,0,1,0,1,7
2868,2959,Jeep Compass 2.0 Sport,Hyderabad,2017,37000,First,171,1956,170,5.0,1991,16.9,1,0,0,1,6
2879,2970,Tata Zest Quadrajet 1.3 75PS XM,Pune,2017,72000,First,2295,1248,74,5.0,893,5.0,1,0,0,1,6
2886,2977,Maruti Dzire VXI,Hyderabad,2013,34900,First,220,1197,8180,5.0,797,5.49,0,1,0,1,10
